Time (sec),Axis0 Target Position (m),Axis0 Actual Position (m),Axis0 Target Velocity (m/s),Axis0 Actual Velocity (m/s),Axis0 Control Output (%),Axis0 Status Bits
0.326,10,9.99960613,0,0.019873882,0.499354601,16#0C202241
0.327,10,9.99956703,0,0.016996488,0.499696553,16#0C202241
0.328,10,9.99956703,0,0.01480718,0.499967784,16#0C202241
0.329,10,9.99956703,0,0.011991281,0.500201344,16#0C202241
0.33,10,9.99968529,0,0.008161572,0.498973757,16#0C202241
0.331,10,9.99964619,0,0.005922439,0.498859882,16#0C202241
0.332,10,9.99964619,0,0.007678828,0.498871654,16#0C202241
0.333,10,9.99968529,0,0.012180978,0.498474121,16#0C202241
0.334,10,9.99960613,0,0.016001083,0.499291033,16#0C202241
0.335,10,9.99968529,0,0.016527047,0.498843193,16#0C202241
0.336,10,9.99960613,0,0.013162865,0.499633312,16#0C202241
0.337,10,9.99972439,0,0.007539507,0.498694718,16#0C202241
0.338,10,9.99972439,0,0.002978081,0.498250484,16#0C202241
0.339,10,9.99964619,0,0.002295208,0.499022931,16#0C202241
0.34,10,9.99968529,0,0.004602289,0.499031126,16#0C202241
0.341,10,9.99972439,0,0.006562491,0.49862361,16#0C202241
0.342,10,9.99976349,0,0.007332714,0.497986317,16#0C202241
0.343,10,9.99964619,0,0.008322645,0.49912414,16#0C202241
0.344,10,9.99976349,0,0.009191529,0.498374432,16#0C202241
0.345,10,9.99976349,0,0.008834891,0.498022944,16#0C202241
0.346,10,9.99972439,0,0.008208512,0.498360395,16#0C202241
0.347,10,9.99976349,0,0.008280444,0.498120546,16#0C202241
0.348,10,9.99976349,0,0.008411704,0.498041064,16#0C202241
0.349,10,9.99972439,0,0.007962479,0.498523623,16#0C202241
0.35,10,9.99984264,0,0.006977475,0.497396678,16#0C202241
0.351,10,9.99976349,0,0.006377754,0.497792214,16#0C202241
0.352,10,9.99980354,0,0.007117489,0.49756369,16#0C202241
0.353,10,9.99980354,0,0.008543635,0.497482061,16#0C202241
0.354,10,9.99984264,0,0.009573297,0.497002363,16#0C202241
0.355,10,9.99984264,0,0.010365297,0.496778727,16#0C202241
0.356,10,9.99984264,0,0.011414756,0.496691704,16#0C202241
0.357,10,9.9999609,0,0.012887503,0.495236635,16#0C202241
0.358,10,9.99984264,0,0.01516092,0.495909303,16#0C202241
0.359,10,9.99984264,0,0.01733858,0.496300459,16#0C202241
0.36,10,9.99988174,0,0.016505232,0.496064991,16#0C202241
0.361,10,9.9999609,0,0.011993132,0.494999081,16#0C202241
0.362,10,9.9999218,0,0.007569868,0.494914979,16#0C202241
0.363,10,9.9999609,0,0.006812687,0.494409621,16#0C202241
0.364,10,10,0,0.009701641,0.493671626,16#0C202241
0.365,10,9.9999609,0,0.014289642,0.493754387,16#0C202241
0.366,10,10,0,0.01831628,0.493330091,16#0C202241
0.367,10,10.0000391,0,0.020049768,0.492627293,16#0C202241
0.368,10,9.9999609,0,0.0193271,0.493197262,16#0C202241
0.369,10,10.0000792,0,0.016800586,0.49206838,16#0C202241
0.37,10,10,0,0.013370026,0.492414385,16#0C202241
0.371,10,10,0,0.010000602,0.492598981,16#0C202241
0.372,10,10.0000391,0,0.006666033,0.492221028,16#0C202241
0.373,10,10,0,0.003226922,0.492487818,16#0C202241
0.374,10,10.0000792,0,0.000643001,0.491665661,16#0C202241
